Designator,Mid X,Mid Y,Rotation,Layer
BZ1,225.5,-66.8,270.0,top
C1,214.4675,-93.78,180.0,top
C2,214.37,-96.79,180.0,top
C3,214.37,-99.3,180.0,top
C4,214.37,-109.86,180.0,top
C5,214.5675,-106.0,180.0,top
J1,198.4825,-84.73,0.0,bottom
J2,209.5,-85.01,0.0,top
Q1,215.9375,-73.0,0.0,top
R2,215.0,-78.0,0.0,top
R3,217.5975,-92.5,180.0,top
R4,217.5975,-95.5,180.0,top
R5,217.5,-97.95,180.0,top
R6,217.5,-109.0,180.0,top
R7,217.4025,-104.5,180.0,top
SW1,225.25,-82.9,0.0,top
SW2,225.25,-96.5,0.0,top
SW3,225.25,-106.25,0.0,top
