Designator,Footprint,Quantity,Value,LCSC Part #
C10,0402,1,1µF X7R,
"C11, C7",CP_EIA-3216-18_Kemet-A_HandSolder,2,10µF 10V tantalum Case A,
"C12, C13, C17, C18, C20, C21, C22, C23, C25, C27, C30, C31, C35, C36, C41, CBUCK1, CBUCKOUT1, C_ADC1",0402,18,100nF X7R,
C16,C_Radial_D8.0mm_H11.5mm_P3.50mm,1,100µF 50V electrolytic radial,
C19,C_Radial_D8.0mm_H11.5mm_P3.50mm,1,220µF 10V low-ESR electrolytic radial,
"C24, C26, C28, C33",0805,4,10µF X5R 0805,
"C34, C_ENV1",0402,2,10nF X7R,
"C38, C39",C_Radial_D6.3mm_H7.0mm_P2.50mm,2,100µF 35V electrolytic radial,
CSNUB1,0402,1,1nF X7R,
"D1, D3",SOT-23,2,BAV99,
D2,D_SOD-123,1,BAT54,
D4,D_SMA,1,SS34A,
D5,D_SMA,1,SMBJ28A,
D6,D_SOD-123,1,1N5819,
D7,SOT-23,1,BZX84Cxx,
F1,1812,1,1A polyfuse (1812),
"IC1, IC2",SOIC-8_3.9x4.9mm_P1.27mm,2,OPA2354,
"J1, J2",SMA_Molex_73251-1153_EdgeMount_Horizontal,2,Conn_Coaxial,
"J10, J11, J12, J15",PinSocket_1x08_P2.54mm_Vertical,4,Conn_01x08,
J13,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
J14,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",1,24 V PSU input,
J3,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,UART to RPi,
J4,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,1,JSTXH 6pin Socket 1,
J5,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,1,JSTXH 6pin Socket 2,
J6,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,motor 1,
J7,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,motor 2,
J8,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,LED Panel,
J9,IDC-Header_2x10_P2.54mm_Vertical,1,Conn_02x10_Odd_Even,
L1,L_Bourns_SRR1260,1,100µH,
LED_STAT1,0805,1,green LED,
Q1,SOIC-8_3.9x4.9mm_P1.27mm,1,AO4407A,
"R1, R12, R21, R22, R28, R29, R38, R39, R9, RSNUB1",0402,10,10kΩ,
"R17, R18",0402,2,5.1kΩ,
R19,0402,1,4.7kΩ,
"R26, R31, R37",0402,3,100Ω,
"R27, R35",0402,2,910Ω,
R32,0402,1,47Ω,
R33,0402,1,390Ω,
"R40, R41, R5, R_ENV1, R_PDN_UP1",0402,5,10kΩ 0402,
R6,0402,1,330Ω,
R_IN1,0402,1,100Ω 0402,
R_UART1,0402,1,1kΩ 0402,
"SW_BOOT1, SW_RESET1",SW_SPST_EVQP2_MiddlePushTravel_H2.5mm,2,6×6mm tactile,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U2,TO-263-5_TabPin3,1,LM2596S-5,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
U4,MSOP-10_3x3mm_P0.5mm,1,AD9833xRM,
