Designator,Mid X,Mid Y,Rotation,Layer
C10,188.468,-80.518,90.0,top
C11,165.608,-74.592,90.0,top
C12,163.83,-75.9725,270.0,top
C13,111.252,-114.928,315.0,top
C16,125.156,-88.627,270.0,top
C17,163.321999,-80.264,0.0,top
C18,166.6835,-80.264,180.0,top
C19,142.494,-74.958,90.0,top
C20,176.1975,-107.95,90.0,top
C21,176.849,-103.378,180.0,top
C22,188.214,-78.74,0.0,top
C23,158.562001,-97.79,90.0,top
C24,161.036,-97.79,0.0,top
C25,183.134,-102.87,90.0,top
C26,180.594,-102.87,180.0,top
C27,159.324001,-110.744,180.0,top
C28,191.008,-78.74,180.0,top
C30,171.196,-97.9845,90.0,top
C31,171.958,-102.616,270.0,top
C33,170.18,-103.378,90.0,top
C34,168.402,-102.616,90.0,top
C35,164.592,-102.362,270.0,top
C36,135.342,-114.780717,315.0,top
C38,138.176,-111.88,0.0,top
C39,114.046,-111.88,0.0,top
C41,168.91,-106.172,180.0,top
C7,157.226,-79.502,180.0,top
CBUCK1,120.142001,-85.657501,90.0,top
CBUCKOUT1,146.05,-81.534,270.0,top
CSNUB1,134.874,-73.66,0.0,top
C_ADC1,191.516,-102.362,0.0,top
C_ENV1,186.944,-104.902,180.0,top
D1,173.736,-109.728,180.0,top
D2,188.468,-108.204,180.0,top
D3,190.754,-104.902,0.0,top
D4,133.858,-76.2,0.0,top
D5,110.998,-74.676,90.0,top
D6,169.624,-72.126001,0.0,top
D7,107.520501,-87.847501,0.0,top
F1,105.470999,-75.438,0.0,top
IC1,160.594001,-103.378,0.0,top
IC2,181.864,-106.934,270.0,top
J1,164.084,-114.352,90.0,top
J10,144.526,-105.22121,180.0,top
J11,131.826,-105.22121,180.0,top
J12,120.65,-105.26121,180.0,top
J13,177.752,-73.142001,180.0,top
J14,101.6705,-89.408,270.0,top
J15,107.95,-105.26121,180.0,top
J2,176.276,-114.352,90.0,top
J3,166.853501,-92.456,0.0,top
J4,125.73,-103.866,90.0,top
J5,101.854,-103.946,90.0,top
J6,160.5775,-85.11,90.0,top
J7,168.377501,-85.11,90.0,top
J8,149.86,-75.204,90.0,top
J9,152.146,-99.568,180.0,top
L1,136.652,-85.876,90.0,top
LED_STAT1,185.752499,-102.87,0.0,top
Q1,106.68,-81.534,0.0,top
R1,140.97,-114.8385,45.0,top
R12,117.094,-114.928,45.0,top
R17,170.894,-75.936001,180.0,top
R18,170.894,-74.2,180.0,top
R19,144.78,-81.534,270.0,top
R21,184.469,-110.49,0.0,top
R22,184.469,-112.014,180.0,top
R26,176.849,-106.045,0.0,top
R27,188.214,-110.7995,90.0,top
R28,174.3335,-105.918,0.0,top
R29,174.333499,-107.188,180.0,top
R31,186.69,-111.397,270.0,top
R32,159.324001,-109.474,0.0,top
R33,159.324001,-108.204,0.0,top
R35,176.849,-104.648,180.0,top
R37,161.864001,-108.204,180.0,top
R38,167.132,-104.14,270.0,top
R39,165.862,-103.124,90.0,top
R40,187.198,-80.518,90.0,top
R41,171.704,-106.172,0.0,top
R5,110.49,-87.7945,270.0,top
R6,188.468,-102.87,90.0,top
R9,117.523004,-116.586,45.0,top
RSNUB1,132.08,-73.66,0.0,top
R_ENV1,187.198,-106.172,180.0,top
R_IN1,176.1975,-110.301999,90.0,top
R_PDN_UP1,184.912,-79.502,0.0,top
R_UART1,184.912,-81.026,180.0,top
SW_BOOT1,167.386,-109.244612,0.0,top
SW_RESET1,185.42,-74.422,90.0,top
U1,186.256,-91.694,270.0,top
U2,119.471,-78.213,180.0,top
U3,158.496,-74.676,180.0,top
U4,167.132,-98.552,90.0,top
