sample_id,particle_size_um
stroke1,1911.6
stroke1,877.8
stroke1,1763.4
stroke1,1141.6
stroke1,897.5
stroke1,1770.0
stroke1,3719.3
stroke1,1814.5
stroke1,1511.3
stroke1,2245.0
stroke1,1825.4
stroke1,1061.3
stroke1,833.8
stroke1,1802.7
stroke1,1205.5
stroke1,717.0
stroke1,798.4
stroke1,822.1
stroke1,495.7
stroke1,1162.0
stroke1,671.2
stroke1,3484.5
stroke1,1238.2
stroke1,508.5
stroke1,1903.9
stroke1,3510.0
stroke1,927.8
stroke1,1093.4
stroke1,2110.7
stroke1,627.3
stroke1,357.5
stroke1,481.1
stroke1,1275.8
stroke1,903.1
stroke1,859.3
stroke1,954.3
stroke1,952.3
stroke1,465.5
stroke1,2008.2
stroke1,1076.1
stroke1,614.0
stroke1,1075.1
stroke1,966.0
stroke1,723.1
stroke1,860.4
stroke1,945.2
stroke1,1285.2
stroke1,1223.2
stroke1,1050.6
stroke1,1565.7
stroke1,1348.9
stroke1,962.2
stroke1,1163.1
stroke1,750.3
stroke1,3542.8
stroke1,1498.8
stroke1,816.4
stroke1,1136.9
stroke1,1599.7
stroke1,3064.9
stroke1,988.3
stroke1,1275.0
stroke1,714.4
stroke1,1169.5
stroke1,3132.6
stroke1,2159.5
stroke1,3252.8
stroke1,2769.4
stroke1,1717.3
stroke1,2971.9
stroke1,2679.0
stroke1,2151.5
stroke1,836.1
stroke1,2033.2
stroke1,2557.2
stroke1,1175.5
stroke1,2491.5
stroke1,753.0
stroke1,1279.7
stroke1,1248.3
stroke1,651.6
stroke1,771.7
stroke1,861.6
stroke1,3005.5
stroke1,927.7
stroke1,869.2
stroke1,1450.3
stroke1,713.9
stroke1,892.0
stroke1,1070.4
stroke1,1531.0
stroke1,1414.1
stroke1,3370.8
stroke1,2067.6
stroke1,940.6
stroke1,1862.8
stroke1,1081.0
stroke1,2685.7
stroke1,2647.6
stroke1,1251.5
stroke1,599.8
stroke1,819.8
stroke1,897.0
stroke1,531.4
stroke1,817.7
stroke1,590.8
stroke1,657.9
stroke1,556.3
stroke1,515.8
stroke1,1348.6
stroke1,777.1
stroke1,712.0
stroke1,1601.6
stroke1,828.4
stroke1,860.6
stroke1,2598.4
stroke1,3303.5
stroke1,1168.4
stroke1,1144.4
stroke1,963.7
stroke1,955.5
stroke1,429.5
stroke1,1052.2
stroke1,594.8
stroke1,718.7
stroke1,510.9
stroke1,1058.5
stroke1,1029.8
stroke1,797.3
stroke1,541.6
stroke1,1656.9
stroke1,830.3
stroke1,742.9
stroke1,544.8
stroke1,891.7
stroke1,876.9
stroke1,816.9
stroke1,1175.4
stroke1,1043.5
stroke1,1415.8
stroke1,1362.3
stroke1,2939.5
stroke1,989.5
stroke1,1432.8
stroke1,715.5
stroke1,1825.7
stroke1,563.2
stroke1,2040.2
stroke1,1903.6
stroke1,1942.2
stroke1,678.9
stroke1,2892.4
