sample_id,particle_size_um
stroke25,1745.0
stroke25,768.7
stroke25,727.2
stroke25,463.3
stroke25,317.9
stroke25,348.6
stroke25,1268.3
stroke25,297.2
stroke25,482.6
stroke25,2234.1
stroke25,1526.8
stroke25,1126.8
stroke25,1263.1
stroke25,665.4
stroke25,625.0
stroke25,508.8
stroke25,349.6
stroke25,612.9
stroke25,1067.9
stroke25,680.6
stroke25,636.1
stroke25,395.1
stroke25,1025.0
stroke25,668.9
stroke25,1493.4
stroke25,912.3
stroke25,313.4
stroke25,509.5
stroke25,927.9
stroke25,851.2
stroke25,591.6
stroke25,456.9
stroke25,827.6
stroke25,677.6
stroke25,748.8
stroke25,476.7
stroke25,1195.9
stroke25,587.2
stroke25,843.1
stroke25,849.9
stroke25,778.2
stroke25,825.3
stroke25,1095.8
stroke25,435.3
stroke25,1480.6
stroke25,865.0
stroke25,567.6
stroke25,493.3
stroke25,591.7
stroke25,521.4
stroke25,1048.3
stroke25,405.0
stroke25,587.8
stroke25,529.5
stroke25,977.4
stroke25,593.5
stroke25,540.4
stroke25,600.8
stroke25,491.3
stroke25,285.7
stroke25,432.8
stroke25,300.2
stroke25,360.8
stroke25,476.2
stroke25,561.1
stroke25,1013.3
stroke25,599.1
stroke25,448.4
stroke25,476.7
stroke25,536.7
stroke25,594.8
stroke25,973.6
stroke25,1046.3
stroke25,698.1
stroke25,780.1
stroke25,712.2
stroke25,665.1
stroke25,745.6
stroke25,1034.9
stroke25,776.0
stroke25,785.7
stroke25,449.2
stroke25,329.6
stroke25,329.4
stroke25,331.0
stroke25,296.7
stroke25,1079.8
stroke25,640.7
stroke25,408.9
stroke25,782.5
stroke25,600.1
stroke25,1234.3
stroke25,449.6
stroke25,388.6
stroke25,894.6
stroke25,397.9
stroke25,591.0
stroke25,322.3
stroke25,550.9
stroke25,371.2
stroke25,408.7
stroke25,593.6
stroke25,457.5
stroke25,396.0
stroke25,365.6
stroke25,546.8
stroke25,436.9
stroke25,763.6
stroke25,569.5
stroke25,399.9
stroke25,658.3
stroke25,1041.0
stroke25,1464.6
stroke25,664.2
stroke25,290.1
stroke25,416.3
stroke25,331.3
stroke25,703.4
stroke25,444.4
stroke25,1192.0
stroke25,459.4
stroke25,1095.8
stroke25,962.6
stroke25,519.9
stroke25,365.5
stroke25,605.1
stroke25,612.8
stroke25,372.8
stroke25,1083.7
stroke25,1152.1
stroke25,639.9
stroke25,1456.2
stroke25,408.3
stroke25,331.8
stroke25,881.9
stroke25,570.4
stroke25,306.0
stroke25,845.7
stroke25,369.7
stroke25,567.0
stroke25,573.7
stroke25,456.8
stroke25,820.2
stroke25,623.7
stroke25,798.3
stroke25,385.9
stroke25,1230.0
stroke25,494.1
stroke25,548.4
stroke25,1082.6
stroke25,733.4
stroke25,450.6
stroke25,408.3
stroke25,651.6
stroke25,597.2
stroke25,607.2
stroke25,738.6
stroke25,579.1
stroke25,591.1
stroke25,810.0
stroke25,987.5
stroke25,396.2
stroke25,800.5
stroke25,615.8
stroke25,707.9
stroke25,421.8
stroke25,470.7
stroke25,306.2
stroke25,704.4
stroke25,563.7
stroke25,382.8
stroke25,785.4
stroke25,243.7
stroke25,477.2
stroke25,1067.4
stroke25,619.8
stroke25,389.8
stroke25,569.7
stroke25,430.8
stroke25,1754.8
stroke25,996.8
stroke25,837.7
stroke25,798.3
stroke25,511.8
stroke25,661.3
stroke25,350.7
stroke25,621.6
stroke25,527.0
stroke25,592.2
stroke25,651.5
stroke25,506.9
stroke25,1098.4
stroke25,340.4
stroke25,622.2
stroke25,581.8
stroke25,470.9
stroke25,619.0
stroke25,418.8
stroke25,937.3
stroke25,549.3
stroke25,734.1
stroke25,510.5
stroke25,451.7
stroke25,437.9
stroke25,266.6
stroke25,709.3
stroke25,318.1
stroke25,450.9
stroke25,337.7
stroke25,427.7
stroke25,513.5
stroke25,300.4
stroke25,645.8
stroke25,499.5
stroke25,308.8
stroke25,350.2
stroke25,303.3
stroke25,372.3
stroke25,598.5
stroke25,696.1
stroke25,836.4
stroke25,515.9
stroke25,387.5
stroke25,547.7
stroke25,498.7
stroke25,320.8
stroke25,335.4
stroke25,511.8
stroke25,1892.2
stroke25,1019.3
stroke25,206.3
stroke25,165.0
stroke25,317.8
stroke25,1607.1
stroke25,236.3
stroke25,269.6
stroke25,177.4
stroke25,182.1
stroke25,443.6
stroke25,382.0
stroke25,1965.9
stroke25,339.4
stroke25,439.1
stroke25,260.9
stroke25,371.0
stroke25,474.2
stroke25,1543.8
stroke25,1123.4
stroke25,557.3
stroke25,1342.8
stroke25,592.3
stroke25,829.3
stroke25,1050.9
stroke25,1111.6
stroke25,377.0
stroke25,260.2
stroke25,459.5
stroke25,491.9
